iterations,costs
0,34273.839470977386
1,34247.22489376124
2,34172.32911827213
3,34134.312356956514
4,34101.16577209969
5,34082.03447346481
6,34058.71744556037
7,34034.19174106298
8,33983.7537359624
9,33971.17246863549
10,33937.26491139315
11,33915.56768801378
12,33894.260805304584
13,33892.621051396054
14,33877.03626572335
15,33871.4595051252
16,33815.585903109626
17,33806.61287942409
18,33801.32788040364
19,33782.91180535915
20,33725.29187388165
21,33687.715965665324
22,33673.02751480656
23,33632.508461401645
24,33613.038913874356
25,33598.96444675581
26,33583.661235258834
27,33582.171906113086
28,33551.01749586038
29,33549.59242249871
30,33542.624442597145
31,33501.47638513766
32,33473.95630972792
33,33449.55545977755
34,33441.06239318182
35,33409.53344230603
36,33370.93479784435
37,33358.393800605016
38,33345.35779698382
39,33302.14518883223
40,33269.86211433714
41,33267.25852216278
42,33260.78753776902
43,33226.69202548454
44,33216.57472295246
45,33213.031164043736
46,33200.18165923907
47,33167.19905487463
48,33161.80748611882
49,33146.65484746158
50,33080.730355601154
51,33057.45304727774
52,33006.40949276943
53,33006.40949276943
54,32993.843677761215
55,32971.93280248635
56,32956.1255072082
57,32928.48241234121
58,32905.69126318172
59,32860.64271856654
60,32855.70436076522
61,32835.2220431138
62,32824.644841843554
63,32814.06272641313
64,32790.07378701791
65,32768.522734954386
66,32740.665901033273
67,32684.881126228156
68,32652.126546133182
69,32640.827208715025
70,32630.79464073938
71,32623.668695786415
72,32614.548127451435
73,32573.08459562619
74,32555.917522140728
75,32541.357797782355
76,32518.47652638019
77,32515.06434923967
78,32514.683531123235
79,32503.53255805783
80,32503.321942523726
81,32478.28675424839
82,32454.086996892915
83,32439.019812344915
84,32424.87159266771
85,32417.40945993612
86,32391.593601274497
87,32385.516135133366
88,32378.436468010517
89,32373.640813213085
90,32348.31422270789
91,32310.56895436417
92,32273.184380514467
93,32232.947064096203
94,32229.578072143515
95,32194.61241356457
96,32194.040560079302
97,32161.24948446009
98,32136.615950336563
99,32131.98157173926
100,32124.197460358184
101,32069.13445545185
102,32036.50881500686
103,32027.90187322325
104,32023.100979140865
105,32018.11893383955
106,32011.517658439778
107,32001.01227044278
108,31987.232656488988
109,31975.143845279956
110,31968.080084102017
111,31966.145922813354
112,31958.12510420743
113,31952.177384084927
114,31936.5186966237
115,31927.912487033907
116,31898.34824592143
117,31894.005664418888
118,31889.293966701603
119,31872.6045424179
120,31868.385562361138
121,31862.291190081898
122,31849.82088982961
123,31848.593374866974
124,31846.42658947471
125,31819.023800683928
