,Means
0,35198.50816503291
1,35210.07191524622
2,35058.37711605105
3,35005.20665800287
4,34762.568246049035
5,34911.92886204546
6,35014.81232285082
7,35025.45027690608
8,34859.45290051946
9,34994.15671679072
10,34947.50965777351
11,35001.46929004447
12,35001.276596236195
13,35001.276596236195
14,35142.8679617313
15,35288.944270127045
16,35282.678194669505
17,35083.26553891811
18,35193.38221326285
19,34959.13513959566
20,35033.76650530003
21,35035.89374434401
22,35020.054013500216
23,35125.906026672004
24,35201.77390953231
25,35259.80125994672
26,35293.55662146298
27,35366.717608031206
28,35333.415803092954
29,35499.185852108574
30,35495.418864847285
31,35095.00967857521
32,35222.28251737175
33,35121.00592211412
34,35235.772930440566
35,35259.165121075
36,35168.36739537412
37,35155.2036866123
38,35050.25497062884
39,35169.83873256448
40,35160.1672285525
41,35189.11868581189
42,35172.40137398884
43,35245.08657032626
44,35619.00603551243
45,35620.441395269925
46,35618.3280289404
47,35397.11179240547
48,35796.36961063924
49,35796.42811111279
50,35545.96897223298
51,35690.35677135311
52,35605.08085000941
53,35609.84318464693
54,35617.779353902726
55,35435.85210374034
56,35654.50936890488
57,35722.600612851915
58,35673.28056464797
59,35688.559987392815
60,35684.74595775659
61,35619.009741776674
62,35585.332057230524
63,35767.843948195215
64,35744.15373115009
65,35756.202953164604
66,35759.53425195574
67,35661.11017258078
68,35661.11017258078
69,35669.31306353535
70,35620.87905351073
71,35728.498677764044
72,35796.04562651182
73,35711.083944329635
74,35675.89627632259
75,35532.78509972467
76,35551.488769343574
77,35455.58718780022
78,35295.4092303158
79,35467.12417304539
80,35507.80815477184
81,35407.46918444729
82,35336.92940872287
83,35326.74076124595
84,35411.7566843009
85,35410.7105855441
86,35366.83255152122
87,35359.67742059998
88,35401.314157037414
89,35177.62316235468
90,35375.26578690808
91,35370.87648158503
92,35208.957198229
93,35214.76458603968
94,35215.30219945802
95,35223.30019452587
96,34982.73522471357
97,35174.49176413363
98,35198.265057761855
99,35135.91211620158
100,35200.303341676015
101,35201.743302935865
102,35021.27870403923
103,35190.553679072415
104,35152.92728098713
105,35240.66170555266
106,35239.33590786476
107,35116.76127118021
108,35207.53113583129
109,35177.43351179451
110,35277.494828488445
111,35289.38548077522
112,35153.27556823993
113,35211.67362389114
114,35145.3697218133
115,35173.43272679884
116,35290.2260666645
117,35314.05712575966
118,35192.63591699995
119,35421.76065028618
120,35420.42736378563
121,35418.39827467781
122,35446.79892952688
123,35397.506650347124
124,35541.76348611217
125,35555.0523523194
126,35419.01284891695
127,35523.98114958528
128,35560.7397312288
129,35761.81088216855
130,35792.00603673015
131,35779.220645502595
132,35740.89080918147
133,35738.89494456739
134,35754.22934958394
135,35425.20206837696
136,35555.25258929237
137,35554.263829378884
138,35471.72171333662
139,35491.24876866058
140,35547.361811453906
141,35524.4253423651
142,35625.43783523661
143,35609.10336400107
144,35268.44396047202
145,35529.85753447745
146,35422.315497322095
147,35474.65844475739
148,35477.717361587755
149,35292.8095774881
150,35407.37036555295
151,35350.85913936844
152,35359.567628560864
153,35236.70427117154
154,35404.116692805226
155,35210.145617866016
156,35400.93262274931
157,35395.32299179911
158,35244.67986896666
159,35306.58794248903
160,35256.46778947945
161,35057.056262943865
162,35329.99789736305
163,35339.91697343149
164,35268.37676927449
165,35291.30765315614
166,35338.408301241885
167,35224.34876841343
168,35283.288696248586
169,35268.56422671445
170,35185.02063424019
171,35253.74514420158
172,35313.903117519316
173,35331.528032092916
174,35593.40362797608
175,35544.211977781946
176,35548.24397643772
177,35485.29136936308
178,35487.71946490371
179,35267.174402906414
180,35492.33565678153
181,35530.2044555367
182,35502.978983584326
183,35540.129984861596
184,35619.26914864031
185,35529.95791731098
186,35530.64201253991
187,35532.35763226946
188,35468.86815283751
189,35548.5995766218
190,35495.60918624395
191,35650.231004784015
192,35497.8991929467
193,35543.15770981915
194,35512.93956321309
195,35485.16281666652
196,35387.645510703915
197,35413.16281666652
198,35334.067481526305
199,35630.694992809425
200,35630.51455957901
201,35346.39903742506
202,35460.450592865716
203,35333.456858386504
204,35471.974065028495
205,35445.86107525737
206,35124.43169787593
207,35230.54821516223
208,35013.966229117956
209,35147.09070663253
210,35071.57903948729
211,34991.36012786976
212,34957.98122384715
213,34769.416646452664
214,34972.62928122842
215,34972.39858368974
216,34663.63405928335
217,34733.21835165625
218,34488.09519371987
219,34490.61526006009
220,34244.88759784546
221,34485.41958891551
222,34491.66466009941
223,34395.36529304437
224,34489.85918005228
225,34774.9441982125
226,34776.13391288359
227,34410.353198852594
228,34453.166106305056
229,34187.13464675927
230,34403.91752709297
231,34410.41607834812
232,34377.0736072992
233,34389.44937353465
234,34364.69092151112
235,34399.44096336468
236,34618.979048340334
237,34704.45626808777
238,34746.39402178401
239,34748.45644883694
240,34649.945954243696
241,34761.61910348759
242,34763.86131257108
243,34658.529251084576
244,34659.92993318718
245,34547.092060756506
246,34587.50355384019
247,34561.77341248103
248,34582.164146034236
249,34424.97230638726
250,34564.38089464019
251,34608.413211476676
252,34306.19713829801
253,34302.26055310709
254,34164.99526932246
255,34273.88668291489
256,34161.34427703624
257,34155.01223276551
258,33763.56710176809
259,33763.56710176809
260,33802.22420418929
261,33490.010015673164
262,33730.49499764405
263,33731.412887413804
264,33534.6118308664
265,33682.23486843169
266,33582.04634501304
267,33635.37003745833
268,33424.8048292594
269,33420.272084892
270,33317.321668766
271,33426.8142114248
272,33440.875928500245
273,33347.365048888794
274,33425.31899958447
275,33445.816971267224
276,33008.868895373074
277,33224.04902723041
278,33577.81169367644
279,33563.447730474436
280,33586.392466443795
281,33547.7242258599
282,33528.10314529701
283,33635.39598994097
284,33871.56317954473
285,33818.17275626697
286,33730.25383336874
287,33815.06326115884
288,33797.97624350057
289,33811.43886192213
290,33668.307443282334
291,33736.67366015787
292,33692.68313739372
293,33727.844792838405
294,33744.23591222883
295,33539.71243648302
296,33760.526485365175
297,33950.615415137814
298,33948.879357702404
299,33943.965714745515
300,33954.33938513558
301,33854.37851990244
302,33935.25559921669
303,33683.69307449309
304,33933.766360122354
305,33874.91525417048
306,33875.90371869521
307,33848.6226885764
308,33853.663294200334
309,33840.83796105314
310,33964.831598300734
311,34020.73277989569
312,34025.967312066845
313,33971.13128310326
314,33986.418085499194
315,34231.044434974785
316,34232.442793828086
317,34057.113930503874
318,34213.69103364356
319,34444.06220432207
320,34434.26687887058
321,34424.38076538749
322,34471.87530064326
323,34477.59332861313
324,34318.16628100357
325,34324.78935258648
326,34289.140872340635
327,34315.52822394142
328,34623.077348799314
329,34583.189727737605
330,34596.31351403951
331,34596.443062966966
332,34684.25497653772
333,34613.051748115206
334,34701.67697668744
335,34698.25024332148
336,34623.56839349672
337,34686.33257621842
338,34864.861635218476
339,34856.39901807759
340,34761.078009945806
341,34892.877091200964
342,35058.56662825577
343,34960.98913484211
344,35065.39625830784
345,35064.065787256615
346,35021.11847607207
347,35000.22445392385
348,35054.437834358454
349,34743.717239973725
350,34794.71170017947
351,34529.303295311365
352,34778.01866685394
353,34794.020598244155
354,34604.77250937451
355,34729.0793640858
356,34718.20654340875
357,34907.85113089848
358,34899.16849089129
359,34789.54119703459
360,34925.97017580371
361,34943.31881278005
362,34799.64076263044
363,34935.768202882304
364,34964.741974354314
365,34873.7438459313
366,34851.45816140826
367,34829.46376974111
368,34798.9868784404
369,34788.294471884765
370,34662.11085334
371,34655.7794228693
372,34556.406897756744
373,34592.660985421804
374,34521.55874108652
375,34969.76734505513
376,34962.23098517237
377,34945.75098000133
378,34845.499603805045
379,35088.34336507012
380,35080.11912766272
381,35091.93027253662
382,34975.040227707635
383,35029.71525718277
384,35076.957604970135
385,35107.338061632545
386,35107.83795092148
387,34883.207911684534
388,34918.186138825135
389,34730.291275155265
390,34737.096860875354
391,34387.25064379419
392,34730.000909953145
393,34752.83961089713
394,34753.18299419515
395,34731.95872636974
396,34735.710842025816
397,35019.07344331223
398,35041.83261291792
399,34731.70857007042
400,34706.349969568924
401,34369.15948120192
402,34601.52132476609
403,34543.2026097067
404,34537.034324678825
405,34560.297589743765
406,34351.331454116116
407,34527.58816671658
408,34377.538882951296
409,34420.769012747245
410,34097.78237815524
411,34436.013860734805
412,34441.056275555835
413,34390.656049253135
414,34377.35939715948
415,34372.14758513827
416,34377.708867068315
417,34437.983553563376
418,34301.241328415854
419,34308.11548290213
420,34053.17838947657
421,34128.20908175128
422,34036.76224086521
423,34031.22573256811
424,33920.68150561747
425,34098.9307917038
426,34097.03436044499
427,34008.913565922536
428,34052.13226990687
429,34070.016060819224
430,34029.26838696226
431,34129.49717928828
432,34060.17462296014
433,34051.756933121425
434,33582.681167553805
435,33603.92091115719
436,33414.31458546572
437,33452.9138256374
438,33297.56563905766
439,33554.4135813698
440,33567.58746510086
441,33569.38971377063
442,33462.866077451254
443,33542.050825198894
444,33540.55057709213
445,33550.57565200678
446,33307.00838716727
447,33408.573552624264
448,33272.926374051865
449,33373.107750060306
450,33315.90062959431
451,33345.60495928523
452,33358.777031870166
453,33361.5912583974
454,33358.93257890722
455,33373.51611046781
456,33338.68954967728
457,33247.864262956464
458,33405.07705965862
459,33436.67990554695
460,33446.7750551449
461,33422.03403770384
462,33528.627338414866
463,33426.95715886503
464,33531.25644871233
465,33504.2662027277
466,33495.80004454144
467,33729.793379541996
468,33770.71423757687
469,33615.34540477402
470,33790.31405998313
471,33789.316979318566
472,33763.5527862512
473,33756.231869641626
474,33597.903926062645
475,33903.98889915086
476,34021.01538059707
477,34077.51634377782
478,34076.81903665432
479,34008.0002255294
480,34067.7662121194
481,34371.59823874316
482,34367.89297346295
483,34333.15901678652
484,34316.19659452592
485,34332.58607129364
486,34310.36695390129
487,34322.184249831946
488,34406.39047299663
489,34651.15848505206
490,34574.23176006094
491,34566.90180242971
492,34577.13797419651
493,34391.98341049823
494,34713.05883848661
495,34729.91017392053
496,34640.366127928646
497,34682.35411663534
498,34630.693660566205
499,34910.30738427871
500,34943.66884627794
501,34944.600670776446
502,34773.001648508245
503,34938.261295514385
504,34962.318959857046
505,34924.33299604896
506,34735.30421982032
507,34877.71560549244
508,34899.575290467306
509,34921.23641001299
510,34915.51320908744
511,34904.71816419896
512,35175.473449274825
513,35171.180520657195
514,34989.924046933396
515,35095.49839173908
516,35083.3785460771
517,35087.58893180927
518,35071.92150187284
519,35101.58177643448
520,35295.62379663106
521,35294.64587333235
522,35263.39195902993
523,35245.13542092669
524,35184.8921806554
525,35355.65686112951
526,35354.48837303511
527,34914.00881978881
528,35314.66913628472
529,35322.320418766
530,35043.13199203556
531,35238.241709498936
532,35203.66204873051
533,35232.7575199056
534,35108.87073434874
535,35341.09027970083
536,35394.49898968677
537,35463.59958971639
538,35320.611061288895
539,35306.65410375802
540,35339.57163466825
541,35320.79844760074
542,35390.704368040315
543,35391.36025334344
544,35386.20693145739
545,35355.37171692628
546,35453.7331504802
547,35650.591164596335
548,35570.3992398875
549,35621.6340522532
550,35635.993263458295
551,35326.321797542565
552,35623.63565454725
553,35614.16440768058
554,35576.80488790457
555,35520.00711929507
556,35520.00711929507
557,35791.79168053118
558,35799.40359543523
559,35819.56447195896
560,35817.41362005896
561,36016.16212081716
562,36012.918186177645
563,36014.04669796547
564,35994.630669464226
565,36251.31561564721
566,36157.91379852079
567,36158.236209389965
568,35861.79145765073
569,35861.79145765073
570,35894.23561043758
571,35862.63368264472
572,35884.463782127204
573,35941.968822709256
574,35779.46289681618
575,35908.58250397309
576,35891.5651876761
577,35929.412155900034
578,35908.974293416206
579,35805.705688016606
580,35813.96631728039
581,35630.293291730835
582,35663.037115081825
583,35739.50834899372
584,35729.40489639081
585,35678.73558784726
586,35539.1525919304
587,35577.17557312504
588,35487.10277117248
589,35580.78747986113
590,35469.542546425306
591,35519.40224244487
592,35590.57837111752
593,35505.01243301651
594,35459.48824018413
595,35233.56308295549
596,35441.77188800908
597,35520.73307416287
598,35543.49428169028
599,35260.51211019617
600,35479.276029653935
601,35470.13878482678
602,35480.83561314213
603,35490.569068767945
604,35440.173300488386
605,35439.27824737551
606,35425.79853524838
607,35523.848912477595
608,35533.420315287774
609,35387.07506808214
610,35332.25916237396
611,35351.88979659226
612,35352.781941622525
613,35562.24051561691
614,35689.12368952646
615,35682.96526158252
616,35394.422625302905
617,35540.13271084572
618,35554.069421175416
619,35403.79695977422
620,35510.40259695417
621,35670.14517037762
622,35671.037977552696
623,35661.96616079856
624,35666.5302824112
625,35648.03845499364
626,35756.46783131774
627,35742.64765774407
628,36007.95469211132
629,36002.21527048839
630,35693.22696893469
631,35669.401106663645
632,35309.20316624036
633,35734.26742150399
634,35730.288351388095
635,35714.975652115856
636,35662.254143353915
637,35701.40312233844
638,35698.11061852551
639,35640.9604496558
640,35752.44641520185
641,35684.67405689592
642,35830.9847806717
643,35750.19029103975
644,35856.32589496393
645,35823.74163032799
646,35838.267082854356
647,35784.51999211132
648,35783.92136488206
649,35762.9416511169
650,35628.044796866365
651,35590.318170792176
652,35395.0505709773
653,35671.12944730466
654,35735.99861647429
655,35743.686121778635
656,35682.033745453286
657,35679.55299757325
658,35659.07693778088
659,35546.73740438716
660,35584.885148818394
661,35339.06164770347
662,35590.323770676594
663,35558.08777102245
664,35264.2042902994
665,35431.30412615319
666,35384.34835189214
667,35367.33263888577
668,35366.075758417806
669,35059.339611053874
670,35106.256222992175
671,34871.77237133762
672,34865.949748471845
673,34645.27371827308
674,34912.193520309156
675,34912.103129649
676,34790.55826892913
677,34986.60434045065
678,35057.97013482562
679,35057.23641050719
680,34732.47827558058
681,34924.12287541739
682,34951.85913499747
683,34867.540017491745
684,34891.38627982362
685,34977.220743173515
686,34947.411998611286
687,35186.934015290026
688,35207.35805270842
